Metadaten,INVNR,OBJEKT,BEZEICHNUNG,INHALT_DARGESTELLT,MATERIAL,TECHNIK,MASZE,Thema,AUFSCHRIFT_MERKMALE,SP,Th,B,S,Rac,Dmpf,L,Mich,Raf,HK,DC,Rf,T,publiziert_in_Publikation,vorgesehen_zur_Publikation,REFERENT_Eigenschaft_1,REFERENT_Typ_1,QUELLE_Beziehung_REFERENT_1,REFERENT_Zeit_1,REFERENT_Ort_1,REFERENT_Bezeichnung_1,REFERENT_Eigenschaft_2,REFERENT_Typ_2,QUELLE_Beziehung_REFERENT_2,REFERENT_Zeit_2,REFERENT_Ort_2,REFERENT_Bezeichnung_2,REFERENT_Eigenschaft_3,REFERENT_Typ_3,QUELLE_Beziehung_REFERENT_3,REFERENT_Zeit_3,REFERENT_Ort_3,REFERENT_Bezeichnung_3,REFERENT_Eigenschaft_4,REFERENT_Typ_4,QUELLE_Beziehung_REFERENT_4,REFERENT_Zeit_4,REFRENT_Ort_4,REFERENT_Bezeichnung_4,REFERENT_Eigenschaft_5,REFERENT_Typ_5,QUELLE_Beziehung_REFERENT_5,REFERENT_Zeit_5,REFERENT_Ort_5,REFERENT_Bezeichnung_5,REFERENT_Eigenschaft_6,REFERENT_Typ_6,QUELLE_Beziehung_REFERENT_6,REFERENT_Zeit_6,REFERENT_Ort_6,REFERENT_Bezeichnung_6,REFERENT_Eigenschaft_7,REFERENT_Typ_7,QUELLE_Beziehung_REFERENT_7,REFERENT_Zeit_7,REFERENT_Ort_7,REFERENT_Bezeichnung_7,REFERENT_Eigenschaft_8,REFERENT_Typ_8,QUELLE_Beziehung_REFERENT_8,REFERENT_Zeit_8,REFERENT_Ort_8,REFERENT_Bezeichnung_8,REFERENT_Eigenschaft_9,REFERENT_Typ_9,QUELLE_Beziehung_REFERENT_9,REFERENT_Zeit_9,REFERENT_Ort_9,REFERENT_Bezeichnung_9,REFERENT_Eigenschaft_10,REFERENT_Typ_10,QUELLE_Beziehung_REFERENT_10,REFERENT_Zeit_10,REFERENT_Ort_10,REFERENT_Bezeichnung_10,REFERENT_Eigenschaft_11,REFERENT_Typ_11,QUELLE_Beziehung_REFERENT_11,REFERENT_Zeit_11,REFERENT_Ort_11,REFERENT_Bezeichnung_11,,,,,,,AUDIO Text,,,,,
289,VI.1.9,Zeitungsausschnitt,Zeitungsausschnitt - Tableau graphique (Rf) - (Revue Encyclopédique) ,Druck - Tabelle - Beschriftung,1 Blatt Papier,Druck - Bleistift (grau),228 x 159 mm,,,,,,x,,,,,,,,x,,,,materiell,Publikation,verfasst,1894,Paris,Revue Encyclopédique (Moreau Georges - Directeur): N° 93 - 15.10.1894 - Librarie La Rousse: Paris - p. 468.,materiell,Publikation,ziterend,,NULL,Rousseau - M.: Diagramme des Observatious de Paris (Parc Saint-Maur) - September 1894.,materiell,Publikation,zitierend,,NULL,Bureau central météorologique de France: Bulletin international du Bureau central météorologique de France 1894.,immateriell,Forschungsthema,behandelnd,,NULL,Forschung Renaissance in Frankreich,immateriell,Forschungsthema,behandelnd,,NULL,Stilphasen,materiell,Publikation,betreffend,,NULL,Geymüller - Heinrich von: Die Bauskunst der Renaissance in Frankreich. Historische Darstellung der Entwicklung des Baustils (Handbuch der Architektur - Bd. 2 - 6 - a.) - Bergsträsser: Stuttgart 1898.,materiell,Publikation,publiziert in,,NULL,Germann/Ploder 2009 - Kat.Nr. 65 - p. 138.,immateriell,Forschungsthema,behandelnd,,NULL,Forschung Renaissance in Frankreich,immateriell,Forschungsthema,behandelnd,,NULL,Stilphasen,materiell,Publikation,betreffend,,NULL,Geymüller - Heinrich von: Die Bauskunst der Renaissance in Frankreich. Historische Darstellung der Entwicklung des Baustils (Handbuch der Architektur - Bd. 2 - 6 - a.) - Bergsträsser: Stuttgart 1898.,materiell,Publikation,publiziert in,,NULL,Germann/Ploder 2009 - Kat.Nr. 65 - p. 138.,,,,,,,,,,,,
290,VII.E.6,Blatt ,Druck - o. Aufschrift (Leonardo) - (Probedruck zu Leonardo da Vinci als Architect),Druck - Beschriftung,1 Blatt Papier,Druck - Heliogravüre - Belistift (grau - blau),316 x 224 mm,,"Beschriftung: ""Planche 91"" ""à couper par Mons. Dujardin""",,,,,,,x,,,,,,,,,materiell,Organisation,verfasst,NULL,London,Verlag [?],materiell,Archivquellen,abbildend,,NULL,Zeichnungen - Grundriss - Ansicht - Schnitt,materiell,Person,behandelnd,,NULL,Leonardo da Vinci,materiell,Person,betreffend,,Paris,Dujardin (Drucker),immateriell,Forschungsthema,betreffend,,NULL,Forschung: Leonardo,materiell,Publikation,betreffend,,NULL,Geymüller - Heinrich von: Architectural Designs - In: Richter - Jean Paul: The Literary Works of Leonardo da Vinci (Bd. 2) - Sampson Low: London 1883 - p. 25-104.,materiell,Publikation,publiziert in,,NULL,Germann/Ploder 2009 - Kat.Nr. 60 - p. 138.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,VII.E.6,Blatt,Druck - o. Aufschrift (Leonardo) - (Probedruck zu Leonardo da Vinci als Architect),,1 Blatt Papier,Druck - Heliogravüre - Belistift (grau),445 x 315 mm,,"Beschriftung: ""Pl. 24 - Pl. 100 - no 4 - no 2 - no 1"" ",,,,,,,x,,,,,,,,,materiell,Organisation,verfasst,NULL,London,Verlag [?],materiell,Archivquellen,abbildend,,NULL,Zeichnungen - Grundriss - Ansicht - Schnitt,materiell,Person,behandelnd,,NULL,Leonardo da Vinci,materiell,Person,betreffend,,Paris,Dujardin (Drucker),immateriell,Forschungsthema,betreffend,,NULL,Forschung: Leonardo,materiell,Publikation,betreffend,,NULL,Geymüller - Heinrich von: Architectural Designs - In: Richter - Jean Paul: The Literary Works of Leonardo da Vinci (Bd. 2) - Sampson Low: London 1883 - p. 25-104.,materiell,Publikation,publiziert in,,NULL,Germann/Ploder 2009 - Kat.Nr. 61 - p. 138.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,VII.D.6,Grafik,"Karton - (Toscanawerk. Initialen) - (Initialen für ""Die Architektur der Renaissance in Toscana"" [Leonardo])",Grafik - Beschriftung,1 Karton,Tinte (schwarz) - Bleistift (grau),122 x 162 mm,,"Beschriftung: ""Arch. D. Rennaiss. N° 325 - Initiat zu Leonardo da Vinci - auf 36 millimeter zu reduzieren""",,,,,,,x,,,,,,x,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Person,behandelnd,,NULL,Leonardo da Vinci,materiell,Publikation,betreffend,,NULL,Stegmann - Carl von (u.a.): Die Architektur der Renaissance in Toscana - Bruckmann: München 1909 (8 Bde) - Abb. N° 325.,materiell,Publikation,publiziert in,,NULL,Germann/Ploder 2009 - Kat.Nr. 58 - p. 137.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,VII.D.6,Grafik,"Karton - (Toscanawerk. Initialen) - (Initialen für ""Die Architektur der Renaissance in Toscana"" [Leonardo])",Grafik - Beschriftung,1 Karton,Tinte (schwarz) - Weißerhöhungen - Bleistift (grau),140 x 170 mm,,"Beschriftung: ""Toscanawerk N° 312. diese Länge auf 3 1/2 einstellen. #1808. Keine Umfassungslinie - aber das Cliché hört da auf - wo die Bleistiftsstriche sind. Benedetto da Majano.""",,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Person,behandelnd,,NULL,Benedetto da Majano,materiell,Publikation,betreffend,,NULL,Stegmann - Carl von (u.a.): Die Architektur der Renaissance in Toscana - Bruckmann: München 1909 (8 Bde) - Abb. N° 312.,materiell,Publikation,publiziert in,,NULL,Germann/Ploder 2009 - Kat.Nr. 58 - p. 137.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Dessins d'Israel Sylvestre Gal. Du Louvre - 1,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),112 x 190 mm,,Abrisskante auf linker Seite,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 31 - N° 125 - N° 4 - Institut N° 33 011,materiell,Personen,behandelnd,,NULL,Fragonard Prendent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Dessins d'Israel Sylvestre Gal. Du Louvre - 2,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),112 x 190 mm,,Abrisskante auf linker Seite,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 031 - N° 33 035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Dessins d'Israel Sylvestre Gal. Du Louvre - 3,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),112 x 190 mm,,Abrisskante auf linker Seite,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 036 - N° 33 565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Dessins d'Israel Sylvestre Gal. Du Louvre - 4,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),112 x 190 mm,,Abrisskante auf linker Seite,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Dessins d'Israel Sylvestre Gal. Du Louvre - 5,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),112 x 190 mm,,Abrisskante auf linker Seite,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Dessins d'Israel Sylvestre Gal. Du Louvre - 6,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),112 x 190 mm,,Abrisskante auf linker Seite,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Dessins d'Israel Sylvestre Gal. Du Louvre - 7,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),112 x 190 mm,,Abrisskante auf linker Seite,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 016,materiell,Artefakt,behandelnd,,Versailles,Schloss Versailles (Versailles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Dessins d'Israel Sylvestre Gal. Du Louvre - 8,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),112 x 190 mm,,Abrisskante auf linker Seite,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,II.1.3.c,Blatt,Blatt - Afaire au Louvre - 27.641,Abbildung - Fassade - Beschriftung,1 Blatt Papier,Bleistift (grau),202 x 157 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquelle,wiedergebend,,Louvre. Cabinet des Dessins (Paris),N° 27.641,materiell,Organisation,betreffend,,Paris,Galerie Lebrun (Paris),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,II.1.3.c,Blatt,Blatt - Afaire au Louvre - 33 035,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),155 x 200 mm,,Vorderseite/Rückseite,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,II.1.3.c,Blatt,Blatt - Afaire au Louvre - 33 016,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),231 x 181 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 016,materiell,Artefakt,behandelnd,,Versailles,Schloss Versailles (Versailles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,II.1.3.c,Blatt,Blatt - Afaire au Louvre - 33 064,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),180 x 231 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 064,materiell,Artefakt,behandelnd,,Charleville,Charleville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,II.1.3.c,Blatt,Blatt - Afaire au Louvre - 33 011 / 33 012,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),184 x 231 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 011 - N° 33 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,II.1.3.c,Blatt,Blatt - Afaire au Louvre - 33 014,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),230 x 181 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Cour de Marbe de Versailles,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),231 x 180 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° [?] Cour de Marbe de Versailles,materiell,Artefakt,behandelnd,,Versailles,Schloss Versailles (Versailles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XIV. Louvre - 31 483 / 31 484,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),182 x 231 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 31 483 - N° 31 484,materiell,Person,behandelnd,,NULL,Gilles-Marie Oppenord ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,II.1.3.c,Fotografie,Fotografie - Afaire au Louvre - Louis XIV. Louvre - Brunnen,Fotografie - Brunnen,1 Fotografie,Belichtung,67 x 65 mm,,,,,,,,,,,,,,x,,,,materiell,Artefakt,abbildend,NULL,NULL,Brunnen,materiell,natürliches Objekt,abbildend,,NULL,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XIV. Louvre - 31 485,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),180 x 231 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 31 485,materiell,Person,behandelnd,,NULL,Gilles-Marie Oppenord ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XIV. Louvre - 33 036 / 33 038,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),185 x 230 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,wiedergebend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 036 - N° 33 038,materiell,Artefakt,behandelnd,,Meudon,Schloss Meudon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XIV. Louvre - Pour des Dessin de Pasterres Voyages,Liste - Beschriftung,1 Blatt Papier,Bleistift (grau),180 x 231 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,betreffend,,Louvre. Cabinet des Dessins (Paris),Album d' Israël Silvestre: N° 33 024 - N° 33 028 - N° 33 035 - N° 33 037 - N° 33 048 - N° 33 057,materiell,Artefakte,behandelnd,,Meudon,Schloss Meudon - Grotte von Meudon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XIV. Louvre - 30 420 / 30 421 / 30 422 / 30 423,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),180 x 231 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,betreffend,,Louvre. Cabinet des Dessins (Paris),N° 30 420 - N° 30 421 - N° 30 422 - N° 30 423,materiell,Person,betreffend,,NULL,L. B. Leclere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XIV. Louvre - 27 699 / 27 700 / 27 701 / 27 702,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),202 x 156 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,betreffend,,Louvre. Cabinet des Dessins (Paris),N° 27 699 - N° 27 700 - N° 27 701 - N° 27 702,materiell,Organisation,betreffend,,NULL,Galerie Lebrun (Paris),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XIV. Louvre - 27 642,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),200 x 158 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,betreffend,,Louvre. Cabinet des Dessins (Paris),N° 27 642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XVI. - 27 317,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),199 x 157 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,betreffend,,Louvre. Cabinet des Dessins (Paris),N° 27 315,materiell,Personen,betreffend,1786,Brest,Louis XVI. (France Roi) - Jallier de Savault,materiell,Artefakt,behandelnd,1786,Brest,Château Brest (Brest - Frankreich),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XVI. - 23 969 / 23 970 / 23 971 / 23 972 / 23 974 / 23 975,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),155 x 201 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,betreffend,,Louvre. Cabinet des Dessins (Paris),N° 23 969 - N° 23 970 - N° 23 971 - N° 23 972 - N° 23 974 - N° 23 975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XVI. - 35 190 / 35 191,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),156 x 201 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,betreffend,,Louvre. Cabinet des Dessins (Paris),N° 35 190 - N° 35 191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XVI. - N° 30 500,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),186 x 231 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,betreffend,1761,Louvre. Cabinet des Dessins (Paris),N° 30 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,II.1.3.c,Blatt,Blatt - Afaire au Louvre - Louis XVI. - N° 30 862 Louis,Abbildung - Beschriftung,1 Blatt Papier,Bleistift (grau),180 x 232 mm,,,,,,,,,,,,,,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,materiell,Archivquellen,betreffend,1761,Louvre. Cabinet des Dessins (Paris),N° 30 862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,II.1.6.a,Fotografie,Fotografie - o . Aufschrift - Du Cerceau St. Eustache,Abbildung,1 Fotografie,Belichtung,140 x 221 mm,,,,,,,,,,,,,x,x,,,,materiell,Archivquelle,abbildend,NULL,NULL,Zeichnung - Kirche - Fassade - Ansicht,materiell,Artefakt,wiedergebend,,Paris,Saint-Eustache Paris,materiell,Person,betreffend,,NULL,Jacques Androuet Ducerceau,materiell,Publikation,publiziert in,NULL,NULL,Geymüller - Heinrich von: Les DuCerceau. leur vie et leur oeuvre - Librairie de l'Art: Paris [et al] 1887.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,II.1.6.a,Zeichnung ,Transparentpapier -  o. Aufschrift - Du Cerceau St. Eustache,Abbildung,1 Blatt Transparentpapier,Schreibfeder,132 x 171 mm,,,,,,,,,,,,,x,x,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Archivquelle,wiedergebend,,NULL,369/229,materiell,Personen,betreffend,1666,NULL,P. Mavrette - J. A. D. Coruan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,II.1.6.a,Fotografie,Fotografie - Epreuves fotogr. Gravées,Abbildung,1 Fotografie,Belichtung,204 x 139 mm,,ausgerissen,,,,,,,,,,,x,x,,,,materiell,Archivquelle,abbildend,NULL,Skizzenbuch (Jacques Androuet Ducerceau),fol. 68: Zeichnung - Architektur - Fassade - Ansicht,materiell,Person,betreffend,,NULL,Jacques Androuet Ducerceau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,II.1.6.a,Fotografie,Fotografie - Epreuves fotogr. Gravées,Abbildung,1 Fotografie,Belichtung,181 x 138 mm,,ausgerissen,,,,,,,,,,,x,x,,,,materiell,Archivquelle,abbildend,NULL,Skizzenbuch (Jacques Androuet Ducerceau),fol. 26: Zeichnung - Grabmahl,materiell,Person,betreffend,,NULL,Jacques Androuet Ducerceau,materiell,Organisation,betreffend,NULL,Paris,Collection de M. Lesoufaché,materiell,Publikation,publiziert in,NULL,NULL,Geymüller - Heinrich von: Les DuCerceau. leur vie et leur oeuvre - Librairie de l'Art: Paris [et al] 1887 - p. 123 (Fig. 53),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
