INVENTARNUMMER;TYP;BESCHRIFTUNG;THEMATISCHE ZUORDNUNG;PUBLIKATION;ORT;JAHR;RELEVANZ;INHALT;FOTO;KOMMENTAR;Ges.anzahl;;;;;
II.2.3.a;Fotografien;FR. Illustrationen. laufende Nummern;Rf;;;;XXX;24 Fotos;;;24;;;;;
II.2.3.b;Sammlung lose Blätter;"FR. Illustrationen. laufende Nummern; RF. a b c";Rf;;;;;"11 Notizen und Skizzen (Gliederungsschema); 2 Skizzen (Transparentpapier)";;2 Skizzen später publiziert (Bd. II);11;;;;;
II.2.3.c;Sammlung lose Blätter;"FR. Illustrationen. laufende Nummern; von Verdux";Rf;;;;XXX;40 Drucke ;;tlw. Publiziert;40;;;;;
II.2.3.d;Sammlung lose Blätter;"FR. Illustrationen. laufende Nummern; von Petit";Rf;;;;XXX;38 Drucke;;tlw. publiziert;38;;;;;
II.2.3.e;Sammlung lose Blätter;"FR. Illustrationen. laufende Nummern; 80-100";Rf;;;;XXX;21 Drucke;;tlw. publiziert;21;;;;;
II.2.3.f;Sammlung lose Blätter;"FR. Illustrationen. laufende Nummern; 100-150";Rf;;;;XXX;50 Drucke;;tlw. publiziert;50;;;;;
II.2.3.g;Sammlung lose Blätter;"FR. Illustrationen. laufende Nummern; 151-200";Rf;;;;XXX;48 Drucke;;tlw. publiziert;48;;;;;
II.2.3.h;Sammlung lose Blätter;"FR. Illustrationen. laufende Nummern; 201-250";Rf;;;;XXX;46 Drucke;;tlw. publiziert;46;;;;;
II.2.3.i;Sammlung lose Blätter;"FR. Illustrationen. laufende Nummern; 251-298";Rf;;;;XXX;1 Skizze, 49 Drucke, 1 Post-Empfängnisbestätigung;;tlw. publiziert;50;;;;;
II.2.3.j;Sammlung lose Blätter;"FR. Illustrationen. laufende Nummern; 299-327";Rf;;;;XXX;1 Skizze, 37 Drucke (auf Transparentpapier, 2 auf Papier);;Transparentpapier als Probedrucke vom Verlag;38;;;;;
II.2.4;Korrekturbögen;o. Aufschrift;Rf;II. Bd.;;;;130 + 3 (77,78,79) Bogen Korrekturfahnen (Rf);;gesamter 2. Bd.;133;;;;;
II.2.5;Sammlung lose Blätter;Fahnen;Rf;I. Bd. ;;1895-1897;;318 Bögen Korrekturfahnen Rf;;;318;;;;;
II.3.1;Sammlung lose Blätter;Recherches sur la Grotte ... aFontainebleau;Rf;;;;;24 Notizen (z.T. Exzerpte?);;;24;;;;;
II.3.2;Sammlung lose Blätter;RF Paris Kirchen Mon. II;Rf;;;1894;;38 Notizen und Skizzen (Umschläge mit Aufschriften), 1 Reproduktion;;;39;;;;;
II.3.3;Sammlung lose Blätter;RF Paris Kirchen Mon.;Rf;;;1883, 1893, 1894, 1900<;;119 Notzien und Skizzen (14 Umschläge + Einzelblätter), 1 Reproduktion;;;120;;;;;
II.3.4;Sammlung lose Blätter;o. Aufschrift;Rf;;;1882;XXX;172 Notizen und Skizzen (13 Umschläge mit Aufschriften + Einzelblätter), 46 Fotos, 1 Zeitungsausschnitt (La Patrie 18.09.1882);;;219;;;;;
II.3.5.a;Sammlung lose Blätter;"RF; RF verschiedene Autoren";Rf;;;;;113 Notizen und Skizzen (11 Umschläge + Einzelblätter);;(Du Cerceau) (Sebastian Le Clerc) (C. Daly);113;;;;;
II.3.5.b;Sammlung lose Blätter;"RF; RF verschiedene Autoren";Rf;;;1894;XXX;"137 Notizen und Skizzen (8 Umschläge + Einzelblätter); 1 Postkarte (1894, Bou?)";;"über Künstler (Galliot) und Autoren; vgl. mit Grafikkabinett";138;;;;;
II.3.5.c;Sammlung lose Blätter;"RF; RF Paris";Rf;;;;XXX;"79 Notizen und Skizzen (12 Umschläge; aus ehem. Notizbuch)";;Calcographie de Louvre;79;;;;;
II.3.6;Sammlung lose Blätter;"RF Gedrucktes man.; alte Paginierung 1-459";Rf;;;;;459 (1-459 nummeriert) Manuskript;;;459;;;;;
II.3.7.a;Sammlung lose Blätter;"Archivio della Fabbrica di S. Pietro, Spese 1535 al 1540; Memoria della fabbrica ... 1534 - 1544";SP;;;;XXX;37 Exzerpte;;Kopie aus dem Archiv della Fabbrica;37;;;;;
II.3.7.b;Sammlung lose Blätter;"Archivio della Fabbrica di S. Pietro, Spese 1535 al 1540; Memoria della fabbrica ... 1534 - 1544";SP;;;;XXX;21 Notizen;;;21;;;;;
II.3.8.a;Sammlung lose Blätter;"o. Aufschrift; Desiderio da Settigano";T;III. Bd. (?);;;;"17 Notizen und Skizzen; 1 Reproduktion";;;18;;;;;
II.3.8.b;Sammlung lose Blätter;"o. Aufschrift; Desiderio da Settigano. Vorbilder";T;;;1904;;"8 Notizen, 1 Zeitungsausschnitt (La Nazione 1904; R. Pantini)";;;9;;;;;
II.3.8.c;Sammlung lose Blätter;"o. Aufschrift; Schule von Rossellino u. Desiderio";T;;;1898;;"5 Notizen und Skizzen; Benutzerschein Biblioteca Natzionale Centrale die Firenze (15.04.1898)";;;5;;;;;
II.3.8.d;Sammlung lose Blätter;"o. Aufschrift; Codici del Filarete";T;;;;XXX;"92 Notizen und Skizzen; 1 Schein (Bibl. Nazionale Florenz)";;;93;;;;;
II.3.8.e;Sammlung lose Blätter;"o. Aufschrift; Fieravanti (Aristotele)";T;;;;;8 Notizen und Skizzen;;;8;;;;;
II.3.8.f;Sammlung lose Blätter;"o. Aufschrift; il Francone";T;;;;;3 Notizen;;;3;;;;;
II.3.8.g;Sammlung lose Blätter;"o. Aufschrift; Fusina (Andrea)";T;;;;;3 Notizen;;;3;;;;;
II.3.8.h;Sammlung lose Blätter;"o. Aufschrift; Gaiole";T;;;;;4 Notizen ;;II.3.8.i = fehlt;4;;;;;
II.3.8.j;Sammlung lose Blätter;"o. Aufschrift; Programm des Werkes (Titel) RF";Rf;;;;;7 Notizen, 1 Zeitungsausschnitt;;;8;;;;;
II.3.8.k;Sammlung lose Blätter;"o . Aufschrift; RF. Conversations avec M. Destailleur";Rf;;;;;16 Notizen ;;;16;;;;;
II.3.8.l;Sammlung lose Blätter;o. Aufschrift. J. Burkhardt über die franz. Kunst;Rf;;;1894;XXX;"6 Notizen, 2 Porträts (J. Burkhardt; Juni 1894)";;;8;;;;;
II.3.8.m;Sammlung lose Blätter;"o. Aufschrift; Bearbeitung der Natur (?) der franz. Renaissance";Rf;;;;;28 Notizen (2 Umschläge + Einzelblätter);;;22;;;;;
II.3.8.n;Sammlung lose Blätter;"o. Aufschrift; Expression de langage";Rf;;;;;3 Notizen;;;3;;;;;
II.3.8.o;Sammlung lose Blätter;"o. Aufschrift; Antiker Erinfluß um Mittelalter ";Rf;;;;;26 Notizen und Skizzen ;;;26;;;;;
II.3.8.p;Sammlung lose Blätter;"o. Aufschrift; Moyen Age. Chateau de France";Rf;;;;;17 Notizen und Skizzen;;;17;;;;;
II.3.8.q;Sammlung lose Blätter;"o. Aufschrift; Monuments du Moyen age RF";Rf ;;;;XXX;17 Notizen und Skizzen;;;17;;;;;
II.3.8.r;Sammlung lose Blätter;"o. Aufschrift; Fremde Charakter in Südfrankreich";Rf;;;;;5 Notizen und Skizzen;;;5;;;;;
II.3.8.s;Sammlung lose Blätter;"o. Aufschrift; deutsche Renaissance";S;;;;;4 Notizen, 1 Foto, 1 Brief;;;6;;;;;
II.3.8.t;Sammlung lose Blätter;"o. Aufschrift; Eng. Ren. Fläm. Span. Port. Holl. Ren.";S;;;;;2 Notizen (5 Umschläge);;;2;;;;;
II.3.8.u;Sammlung lose Blätter;"o. Aufschrift; chronologische Übericht (Toscana)";T;nie publiziert;;;XXX;1 Druckbogen;;Übersichtstabelle für Toscana (nie publiziert);1;;;;;
II.3.8.v;Sammlung lose Blätter;"o. Aufschrift; Luneville";Rf;;;;;2 Notizen und Skizzen;;;2;;;;;
II.3.8.w;Sammlung lose Blätter;"o. Aufschrift; Ghiberti (Lorenzo)";T;;;;XXX;40 Notizen und Skizzen, 1 Postkarte (E. Castellani/Castellari);;;41;;;;;
II.3.8.x;Sammlung lose Blätter;"o. Aufschrift; Ghiberti Bonacorso. Trattatto";T;;;1898;XXX;"33 Notizen und Skizzen, 5 Fotos, 2 Scheine (Bibl. Naz. Firenze; 1898)";;;40;;;;;
II.3.8.y;Sammlung lose Blätter;"o. Aufschrift; Francesco della Luba";T;;;;;8 Notizen;;;8;;;;;
II.3.8.z;Sammlung lose Blätter;"o. Aufschrft; Manetti";T;;;;;16 Notizen ;;;16;;;;;
II.3.8.a.a;Sammlung lose Blätter;"o. Aufschrift; Filarete ms.";T;;;;;31 Notizen;;;31;;;;;
II.3.8.a.b;Sammlung lose Blätter;"o. Aufschrift; Filarete I";T;;;1888, 1889;;21 Notizen, 1 Zeitungsausschnitt, 5 Briefe (4 von Oettingen 1888 und 1889, Luca Betrami 06.09.1888);;;27;;;;;
II.3.8.a.c;Sammlung lose Blätter;"o. Aufschrift; Duccio, Agostino";T;;;;;8 Notizen und Skizzen;;;8;;;;;
II.3.8.a.d;Sammlung lose Blätter;"o. Aufschrift; Luca Fancelli";T;;;;XXX;30 Notizen;;Recherche, ob Beschäftigung mit Luc Fancelli!!!;30;;;;;
II.3.8.a.e;Sammlung lose Blätter;"o. Aufschrift; Federighi";T;;;;;18 Notizen und Skizzen;;;18;;;;;
II.3.8.a.f;Sammlung lose Blätter;"o. Aufschrift; Ferucci (Andrea)";T;;;;;1 Notiz;;;1;;;;;
II.3.9.a;Sammlung lose Blätter;"III Michelozzo; Chronologie";T;III. Bd.;;;XXX;18 Notizen;;;18;;;;;
II.3.9.b;Sammlung lose Blätter;"III. Michelozzo; Fragen an Stegmann";T;;;;XXX;1 Notiz;;;1;;;;;
II.3.9.c;Sammlung lose Blätter;"III. Michelozzo; Profilierung";T;;;;XXX;31 Notizen und Skizzen;;;31;;;;;
II.3.9.d;Sammlung lose Blätter;"III. Michelozzo; Stileigentümlichkeiten";T;;;;XXX;11 Notizen;;;11;;;;;
II.3.9.e;Sammlung lose Blätter;"III. Michelozzo; Thurm S. Croce";T;;;;XXX;24 Notizen und Skizzen;;;24;;;;;
II.3.9.f;Sammlung lose Blätter;"III. Michelozzo; (Buch von H. Stegmann 1888)";T;;;1888;XXX;12 Notizen, 1 Buch: Hans Stegmann. Michelozzo di Bartolemeo. Eine kunstgeschichtliche Studie. München 1888 (Habilschrift);;Verbreitung in Bibliotheken recherchieren;12;;;;;
II.3.10.a;Sammlung lose Blätter;"Zeichnungen in Gemälden; Bibliographie, Allgemeines";B;;;1888, 1898;;9 Notizen, 1 Postkarte (Müntz 1898);;;11;;;;;
II.3.10.b;leer;"Zeichnungen in Gemälden; Architekturzeichnungen ";B (?) Th (?);;;;;;;;;;;;;
II.3.10.c;Sammlung lose Blätter;"Zeichnungen in Gemälden; Dessins Architecture";B (?) Th (?);;;;;1 Skizze;;;1;;;;;
II.3.10.d;Sammlung lose Blätter;"Zeichnungen in Gemälden; Disegno del Manicini";B (?) Th (?);;;1898;;1 Brief (Mancini April 1898 [Firenze]);;;1;;;;;
II.3.10.e;Sammlung lose Blätter;"Zeichnungen in Gemälden; Tableau Alsace-Lorrain";B (?) Th (?);;;;;5 Notizen und Skizzen;;;5;;;;;
II.3.10.f;Sammlung lose Blätter;"Zeichnungen in Gemälden; Bramante Pittore ... Louvre";B;;;;;4 Notizen und Skizzen;;;4;;;;;
II.3.10.g;Sammlung lose Blätter;"Zeichnungen in Gemälden; Bramante Pittore Dessins";B;;;;;3 Notizen und Skizzen;;;3;;;;;
II.3.10.h;Sammlung lose Blätter;"Zeichnungen in Gemälden; Im Trattatto di architettura des Rubens eingeklebt";Th (?) S;;;;;3 Fotos (Auf einer Rückseite Notiz);;;3;;;;;
II.3.10.i;Sammlung lose Blätter;"Zeichnungen in Gemälden; Dessins de figure humaines";S;;;;XXX;"31 Notizen und Skizzen (8 Umschläge und Einzelblätter), 2 Postkarten (Schwertschkoff; 14.11.1887)";;;33;;;;;
II.3.10.j;Sammlung lose Blätter;"Zeichnungen in Gemälden; Stiche";S;;;;;3 Notizen und Skizzen;;;3;;;;;
II.3.10.k;Sammlung lose Blätter;"Zeichnungen in Gemälden; über Gemälde";S;;;1902;;"2 Zeitungsauschnitte (Allgemeine Zeitung; Chronique des arts 1902)";;;2;;;;;
II.4.1;Sammlung lose Blätter;RF Monument;Rf;;;;XXX;178 Notizen und Skizzen (aus ehem. Notizbuch), 20 Fotos, 12 Reproduktionen, 3 Zeitungsausschnitte (21 Umschläge, alphabetisch nach Orten), 1 Broschüre (Vues d'Angers);;;213;;;;;
II.4.2;Sammlung lose Blätter;o. Aufschrift;Rf ;;;1884, 1898, 1900;XXX;252 Notizen und Skizzen, 4 Fotos, 1 Postkarte (Mar? 1898), 1 Zeitungsausschnitt (Journal officiell de la Rep. Francaise 1884) (11 Umschläge + Einzelblätter);6508, 6509, 6510, 6511, 6512;topographische Liste: Orte alphabetisch;258;;;;;
II.4.3;Sammlung lose Blätter;RF;Rf;;;1893, 1895, 1896, 1900;XXX;"249 Notizen und Skizzen (u.a. zu Bibliotheque Lesoufache), 3 Zeitungsausschnitte (Chronique; E. Müntz 1889; über Baukunst Franzkreich 1896), 1 Exzerpt, 3 Brief (Dimier 1900; Papworth 1893; William White vom Royal Institut for British Architects RIBA 1892), 1 Postkarte (E. Müntz 1895). 1 Liste über Architektuen mit Lebensdaten (4 Umschläge), 1 Prospekt";6513, 6514, 6515, 6516, 6517;Bibliothek Lesoufache später aufgelöst;263;;;;;
II.4.4;Skizzenbuch;o. Aufschrift;Rf;;Langres;1884, 1886, 1889;XXX;"130 Notizen und Skizzen (u.a. Exzerpte; Palustre), 3 Fotos (2 Langres; 1 Rue de Cardenal a Lengres 1889), 2 Briefe (Ch. Royer vom Museum in Langres 1896; Nalli (?) 1884 mit Umschlag), 1 Skizzenbuch (St. Amis usw.) (5 Umschläge)";6518 - 6528, 6529, 6530, 6531;Ordnung nach Orten Frankreichs;136;;;;;
II.4.5;Sammlung lose Blätter, Skizzenbuch;o . Aufschrift;Rf (?);;Berlin, Bonn;1863, 1872;XXX;"213 Notizen und Skizzen, 1 Foto (Bonn), 1 Skizzenbuch (Atelier Lesoufache 1872), 1 Buchprospekt, 1 Kostenaufstellung (2 Bl Baurechnungen; Berlin 1863) (5 Umschläge)";6532-6544, 6545, 6546;"Skizzen zu Arbeiten aus dem Atelier/Werkstatt Lesoufache; Baurechnungen (Architekturbüro Adler) Berlin 1863";219;;;;;
II.4.6;Sammlung lose Blätter;Museen;S;;Berlin, Köln, Siena, Den Haag, Volterra, München, Mainz, Frankfurt, Lippi, Basel, Rotterdam;1888, 1886, 1891, 1888;XXX;"139 Notizen und Skizzen (Kuverts div.Aufschriften: Berlin Gemäldegalerien 1888; Köln 1886; Siena Akademie und Gemälde; Den Haag; Volterra S.Francesco; München 1886 und 1889; Mainz 1891, Frankfurt 1886, Lippi, Basel 1891, Rotterdam), 2 Abbildungen, 1 Brief (Gustavo Frizzoni 01.1888)";;;142;;;;;
II.4.7;Skizzenbuch;o. Aufschrift (Le mura di Borgo 1534);S;;;;XXX;1 Skizzenbuch, 1 Kuvert mit 36 Notizen (Exzerpte);;;36;;;;;
II.4.8;Sammlung lose Blätter;Benedetto da Majano;T;;Arezzo;1889;XXX;50 Notizen und Skizzen, 2 Fotos (Loggia Arezzo), 2 Zeitungsausschnitte (1889) (1 Umschlag 4 Kuverts);;;54;;;;;
II.4.9;Sammlung lose Blätter, Manuskript;o. Aufschrift;B;;;1885, 1903, 1907, 1909;XXX;"107 Notizen und Skizzen, 4 Blätter Manuskripte / Korrekturfahnen (Toscanawerk), 13 Foto (Trattato Francesco di Giorgio), 2 Abbildungen (aus Publikationen), 9 Zeitungsausschnitte, 4 Postkarten (1 Elise (Tochter) 02.05.1903; Caffi 1885; 2 Frizzoni 1903), 1 Briefentwurf (an Signor Carocci 1889) 3 Visitenkarten (Porte Vicenzo - Piacenza; Geymüller; Ing. Dagna Cessare - Pavia): (11 Umschläge; u.a. ""Conzentrische Doppelakade"")";;2 Versionen di Francesco di Giorgio (Turin, Florenz);141;;;;;
II.4.10;Skizzenbuch;1968/69 III;T (?);;;;XXX;"1 Skizzenbuch (102 Blätter mit Notizen und Skizzen; Rom 1868/69), 1 Zeitungsausschnit, 1 Apothekenrezept, 1 Liste (Aufzählung an Bauten)";;;104;;;;;
II.4.11;Skizzenbuch;o . Aufschrift;S B (?) T (?);;;;XXX;17 Notizen und Skizzen, 1 Foto, 1 Brief (Terenzio 1909), 2 Postkarten (Max G. (Sohn) - aus Bern 1909, Gräfin Mellia 1909), 3 Rechnungen (für Englische Episcobalkirche Baden-Baden) , 1 Notizbuch (77 Blatt Notizen);;;24;;;;;
II.4.12;Sammlung lose Blätter;Rom u. Umgebung;B (?);;;1888;XXX;56 Notizen und Skizzen, 4 Zeichnungen auf Transparentpapier (Kopien von Peruzzi Pläne), 13 Abbildungen, 6 Zeitungsausschnitte, 1 Brief (G. Atchison 1888 + 2 Zeichnungen auf Transparentpapier), 1 Visitenkarte (Palazzo Farnese), 1 Buchprospekt: (12 Umschläge: );;;75;;;;;
II.4.13;Sammlung lose Blätter;o. Aufschrift;T;;;;XXX;56 Notizen und Skizzen (u.a. Anweisung an Fotografen), 2 Zeitungsausschnitte, 2 Korrekturbögen (Toscanawerk);;;60;;;;;
II.5.1;Sammlung lose Blätter;o . Aufschrift;Rf;;Caen, Rouen, Lisieux;1881;XXX;"37 Notizen und Skizzen, 81 Fotos, 3 Zeitungsausschnitte, 1 Skizzenbuch (87 Blätter mit Skizzen; Ortsangaben: Caen; Rouen; Lisieux; Rf 1881)";;;122;;;;;
II.5.2;Sammlung lose Blätter;o . Aufschrift;Rf (?);;;1894;XXX;255 Notizen und Skizzen, 40 Fotos, 3 Zeitungsausschnitte, 1 Brief (1894);;;299;;;;;
II.5.3.a;Skizzenbuch;"o . Aufschrift; H.v.Geymüller Basel August 1865";S;;;1865;XXX;1 Skizzenbuch (Basel 1865, 117 Notizen und Skizzen) (privat);;am 17. Oktober zumvon Basel aus zum zweiten Mal nach Italien;1;;;;;
II.5.3.b;Skizzenbuch;"o. Aufschrift; Uffizi u. S. Petronino";T (?);;;1881, 1882;XXX;1 Skizzenbuch (81 Notizen und Skizzen);;;81;;;;;
II.5.3.c;Skizzenbuch;"o . Aufschrift; Holland 1886";S;;;1886;XXX;1 Skizzenbuch (117 Notizen und Skizzen), 4 Fotos, 1 Fotokatalog;;;122;;;;;
II.5.3.d;Sammlung lose Blätter;"o. Aufschrift; Solesmes";S;;Delft;1893;;92 Notizen, 1 Zeitungsausschnitt (Chronique 1893);;;93;;;;;
II.5.3.e;Sammlung lose Blätter;"o. Aufschrift; o. Aufschrift";Rf Th;;;1898, 1900, 1901;XXX;"42 Notizen und Skizzen, 1 Zeitungsausschnitt (Chronique 1898), 1 Brief (Societè d'Archive historique du Maine; Broussieffou? 1901)";;für Thesaurus!;44;;;;;
II.5.4;Sammlung lose Blätter, Notizbuch;o . Aufschrift;Rf (?);;;1897, 1908, 1892;XXX;"283 Notzen und Skizzen, 10 Fotos, 5 Zeitungsausschnitte, 2 Postkarten (Vera K. 1897; Jadenici? 1908), 1 Brief (1892), 1 Notizbuch (60 Blätter), 1 Liste (chronologische Tabelle; Rf und älter): (in 5 Umschlägen)";;Bearbeitungsnotizen (Paul Tiocca?);302;;;;;
II.5.5;Sammlung lose Blätter;o . Aufschrift;Rf S;;;1890, 1892, 1894;XXX;"353 Notizen und Skizzen (u.a. Exzerpte aus 10 bd. Viollet-le-Duc; Destellieur), 2 Zeichnungen (Transparentpapier) (Claude Perrault), 11 Zeichnungsauschnitte, 5 Briefe (Ernst Bumat 1892; H. Junod 1892; 2 Fritsch 1892; Paul Robert (Inh.FotoStudio) 1890), 1 Postkarte (G. Rouge? Luasanne 1892), 10 Fotokataloge, 1 Prospekt";;Bearbeitungsnotizen (Paul Tiocca?), Fritsch (Vereinigung Berliner Architekten);383;;;;;
II.5.6;Skizzenbuch;Skizzenbuch 1859-1860 Nr. 3 (Basel, Paris, Freiburg, Bühlertal, Frankfurt, Köln);S;;Berlin;1859, 1860;XXX;49 Blätter mit Skizzen;;;1;;;;;
II.6.1.a;Sammlung lose Blätter;"o . Aufschrift; Müntz und Archille ";S;;;1889, 1890, 1891, 1892, 1893, 1894, 1897, 1898, 1901;XXX;"9 Postkarten (Eugene Müntz; Archille Müntz), 2 Telegramme (Eugene Müntz; Vera), 15 Briefe (Eugene Müntz 1889; 1892; 1893; 1894), 5 Briefe (Archille Müntz 1891; 1893; 1901)";;Archille Müntz = Bruder von Eugene Müntz;31;;;;;
II.6.1.b;Sammlung lose Blätter;"o . Aufschrift; Capella Sistina (Berteuax)";SP;;;;;5 Notizen und Skizzen;;;5;;;;;
II.6.1.c;Sammlung lose Blätter;"o . Aufschrift; Man. Zu Monographie Bramantes im SP-Werk";B;;;;;76 Notizen (verschiedene Schriften);;"ausgetauschte Abschriften; vermutlich von Müntz und anderen Kollegen";76;;;;;
II.6.1.d;Sammlung lose Blätter;"o. Umschlag; o. Aufschrift";S;;;;;4 Notzen, 1 Zeitungsausschnitt, 1 Buchverzeichnis ;;;6;;;;;
II.6.2;Sammlung lose Blätter;"o. Aufschrift (Archivio fabbrica di S. Pietro) 1501- ... (""a moi"")";SP;;;;;"391 Notizen (Exzerpte?), 1 Zeitungsauschnitt(?): (in 20 Umschlägen: u.a. Paul III.; Leo X.; Julius II.)";;;392;;;;;
II.6.3;Sammlung lose Blätter;o . Aufschrift;SP;;;;;"592 Notizen (Exzerpte?), 1 Brief (Eugen Fil? 1882): (in 30 Umschlägen; u.a. Paul III.)";;Julliette (Tochter?);592;;;;;
II.6.4;Sammlung lose Blätter;"o. Aufschrift (Kopien Paul III.; Cemens VII.)";SP;;;;;598 Notizen (?) und Exzerpte: (in 19 Umschläge);;;589;;;;;
II.6.5;Sammlung lose Blätter;Müntz;S;;;1907;XXX;"3 Briefe (Archille Müntz 1907; Leon Dores 1907; H. Oman (?) 1907)";;;3;;;;;
II.6.6;Sammlung lose Blätter;o . Aufschrift;T Rf S;;Vezeley, Semur, Pienza, Pontremoli, Piompino, Siena;1898, 1903, 1907, 1902;XXX;"522 Notizen und Skizzen, 1 Tabelle (Villenübersicht), 5 Zeichnungen (2 Transparentpapiere), 34 Fotos (Vezeley, Semur), 12 Briefe (1 Belloti Giulio 1898; 1 Bombiccijomi 1898; 1 Boissonas 1903; 2 Grappini 1 Al(...) Goz(...) 1907; 3 unbekannt 1898, 1 Magherini Graziani) (?), 6 Postkarten, 21 Zeitungsausschnitte (z.B. 7 Arte e storia 1898; 3x1900; 3x1902; 1904; Tribuna 1898; 2 Chronique 1898 und 1901; 2 Beilage zur allgemeineen Zeitung 1901 und 1902; Le Temps 1889; La libera parola 1900; Neue Züricher Zeitung 1908), 2 Broschüren (Grenoble): (42 Umschläge; nach Orten alphabetisch geordnet - hauptsächlich Toscana Villen)";;Castel del Monte: These, dass Renaissance in Italien bereits und Friedrich II. in Apulien begonnen;602;;;;;
II.6.7;Notizbuch;Florenz. Notizheft aus Biblioth.;S (?);;;;;"1 Notizbuch (20 Blätter: Notizen und Skizzen aus Florenz; 1 Benutzerschein)";;;1;;;;;
III.1.1;Sammlung lose Blätter;o . Aufschrift;L S;;;1867, 1880, 1894, 1897, 1900, 1901;XXX;"127 Notizen und Skizzen, 8 Zeichnungen (1 Transparentpapier), 1 Notizbuch (Exzerpte aus C. Daly; Revue General 1867 ?), 2 Fotos, 5 Zeitungsausschnitte (ad. Codex Escurialensis 1897), 4 Briefe (2 Corado Ricci 1900; 1 Andrè Dal 1894, 1 Entwurf Geymüller > Ricci 1900 S. Vitale in Ravenna betreffend), 1 Buchprospekt, 1 Hotelprospekt, 1 Klubsatzungen, 1 Beitrittserklärung : (in 16 Umschlägen mit Einzelblätter; Orte [Neapel 1901; Pavia; Pesaro, Parma 1905, London 1880] und Personen; z.T. Exzerpte)";;"Ricci: Kunsthistoriker und Autor; Chef der Denkmalpflege";151;;;;;
III.1.2;Sammlung lose Blätter;o . Aufschrift (Leo X.);SP;;;;;"271 Notizen (Exzerpte Müntz?) : (in 15 Umschlägen: Leo X.) (Fabbrica di S. Pietro; San Gallo, Peruzzi, Raffael)";;;271;;;;;
III.1.3;Sammlung lose Blätter;o . Aufschrift (Clemens VII.);SP;;;;;"341 Notizen (Exzerpte; Müntz) : (in 12 Umschlägen: Paul III.; Clemens VII.) (von Müntz), 4 Abbildungen";;;345;;;;;
III.1.4;Sammlung lose Blätter;"o . Aufschrift (Paul II.; IV.)";SP;;;;;"531 Notizen (Exzerpte Müntz?) : (in 17 Umschläge: Paul III.; Paul IV.)";;;531;;;;;
III.1.5;Sammlung lose Blätter;"o . Aufschrift (Julius II.; Paul IV.; Pius V.; Sixtus V.)";SP;;;;;"472 Notizen (Exzerpte; Müntz): (in 30 Umschlägen: Julius II.; Paul IV.; Pius V.; Sixtus V.)";;;472;;;;;
III.1.6;Sammlung lose Blätter;o . Aufschrift (Julius II.);SP;;;;;"294 Notizen (Exzerpte?) : (in 23 Umschlägen: Leo X.; Julius II.; =Materialien aus päpstlichen Archiv durchnummeriert)";;;298;;;;;
III.1.7.a;Sammlung lose Blätter;"o . Aufschrift; Notes Müntz Brouillory";SP;;;;;"59 Notizen (Exzerpte?; Müntz; Brouillory)";;;59;;;;;
III.1.7.b;Manuskript;"o. Aufschrift; Raffaello architetto";Raf;;;1883;;1 Manuskript (274 Blätter);;;274;;;;;
III.1.7.c;Sammlung lose Blätter;"o . Aufschrift; o. Aufschrift";B DC;;;1895;XXX;43 Notizen und Skizzen, 2 Zeichnungen (Du Cerceau), 1 Abbildung (Peruzzi aus Codex?), 1 Druckseite, 1 Brief (Tremblay ? 1895);;;48;;;;;
III.1.8.a;Sammlung lose Blätter;"o. Aufschrift; zu meiner Definition des Barocco u. Rococo";Rf ?;;;;;241 Notizen (Exzerpte);;;214;;;;;
III.1.8.b;Sammlung lose Blätter;"o . Aufschrift; RFI. Monuments alphabeitsch";Rf;;;1898, 1905;;150 Notizen, 1 Zeitungsausschnitt (Le Temps 1905), 1 Brief (Prefecture dela Meuse 1898);;;152;;;;;
III.2.1;Sammlung lose Blätter;o . Aufschrift;SP HK S;;;;;"14 Notizen und Skizzen : (in 3 Umschlägen mit Einzelblättern; St. Peter; F. Talenti), 32 Postkarten (davon 2 Fotos Hohkönigsburg und Schloss Chillon), 1 Zeitungsausschnitt, 1 Broschüre (Bode Ebhardt)";;;49;;;;;
III.2.2;Sammlung lose Blätter;o . Aufschrift;S;;;1893, 1902;XXX;"95 Notizen und Skizzen, 51 Zeichnungen (21 davon auf Transparentpapier), 13 Fotos, 10 Postkarten, 6 Drucksachen, 3 Zeitungsausschnitte, 5 Briefe (2 Vieux Lausanne 1902; 1 Naeher 1886; ...? 1893; Elhavannes ?1892), 1 Inhaltsverzeichnis";;;184;;;;;
III.2.3;Sammlung lose Blätter;o . Aufschrift;Rf;;;1891, 1899, 1902, 1896, 1898, 1900, 1901, 1894, 1895;;"206 Notizen und Skizzen : (in 27 Umschlägen mit div. Aufschriften; Orte), 2 Fotos, 3 Zeitungsausschnitte (1891, 1899, 1902), 15 Briefe (2 Mounaffe 1897; 1 Ernest Petit 1895; 1 A. Saint-Paul 1896; 3 und 4 Karten G. Clanché 1898 1899 1900 1901; 3 (?) 1894; 1 Lavedan; 1 Lancelot 1900 - Rechnung und Liste; 1 >md. Geymüller), 1 Postkarte (? 1901), 1 Prospekt, 1 Postanweisung";;;225;;;;;
